mmsi,ts_transisi,dt_s,multiplier,v_target_kn,v_achieved_kn,offset_nm,bearing_rad
205771000,2026-08-05 01:33:36,9.0,1.3434596005101407,67.17298002550703,66.49543046722584,0.16793245006376759,3.371098184592092
209275000,2026-08-05 02:55:34,619.0,1.26998343508429,63.4991717542145,63.6041250813081,10.918329809960772,2.4755200576502094
210340000,2026-08-05 06:51:15,8.0,1.939054312872612,96.95271564363061,107.71196174936726,0.21545047920806804,3.6546605805021612
210425000,2026-08-05 07:32:48,12.0,2.1391491393237345,106.95745696618673,88.98322181255979,0.35652485655395577,2.562182756137625
210545000,2026-08-05 01:22:36,10.0,1.0675281080960817,53.37640540480408,61.75636947042828,0.14826779279112245,3.3424064249396888
210641000,2026-08-05 23:49:50,10.0,1.3009562817243236,65.04781408621618,66.35590262486816,0.1806883724617116,0.9886397250529346
211168190,2026-08-05 05:02:32,31.0,1.6960191747569595,84.80095873784798,84.86047159804507,0.7302304780203576,1.132877235498791
211197670,2026-08-05 03:36:33,720.0,1.4263687840966355,71.31843920483178,71.30709289381463,14.263687840966355,1.2372731748142953
211212210,2026-08-05 05:48:28,180.0,2.2625164264699538,113.12582132349769,113.21572310607934,5.656291066174885,2.8017239062652006
211212440,2026-08-05 06:38:51,26.0,1.3605603554456087,68.02801777228044,68.073895684599,0.491313461688692,3.1186937302916005
211219630,2026-08-05 06:54:21,111.0,1.2831595750238223,64.15797875119111,64.51715463380224,1.9782043448283926,2.8764160843291045
211235160,2026-08-05 02:43:30,2699.0,1.1751920456182259,58.759602280911295,58.983643797748485,44.05337959893877,2.349197584611719
211278920,2026-08-05 05:27:40,131.0,1.1767975657485281,58.83987828742641,56.356947021563684,2.1411177932369054,6.008778184235493
211283440,2026-08-05 05:24:32,11.0,1.2225649538688164,61.12824769344082,61.168781795370975,0.18678075684106918,5.624058240868581
211283830,2026-08-05 23:16:13,80.0,1.6778112882036103,83.89056441018052,83.90029063505445,1.8642347646706783,2.1375869524736832
211311480,2026-08-05 10:15:58,36.0,1.3687308359725834,68.43654179862916,56.046196353634116,0.6843654179862917,4.607654639070905
211318980,2026-08-05 17:56:16,12.0,1.134627639102024,56.7313819551012,62.27563181491821,0.189104606517004,4.5510423012376595
211324790,2026-08-05 05:13:13,181.0,2.0605448695976283,103.02724347988142,103.16395025530365,5.179980852738482,4.160913306872403
211357210,2026-08-05 07:27:48,354.0,1.6022048470712587,80.11024235356294,80.16702447502342,7.877507164767022,2.9929057668938555
211445200,2026-08-05 04:01:04,1081.0,1.1386701777012638,56.93350888506319,56.90696425269279,17.09586752909814,5.558907510316253
211452950,2026-08-05 03:18:12,357.0,2.097695212860755,104.88476064303775,105.03661764529404,10.401072097101244,4.209289262342212
211474990,2026-08-05 06:16:44,1399.0,1.6689250930552713,83.44625465276356,86.55002748997447,32.42814173867117,2.2380945811976285
211486640,2026-08-05 03:12:44,20.0,2.5966082926447878,129.83041463223938,136.35985835883656,0.7212800812902188,6.058228504749983
211549160,2026-08-05 22:08:06,21.0,2.9380172106623306,146.90086053311654,146.8892942239036,0.8569216864431799,0.8265896130674929
211556950,2026-08-05 14:17:35,31.0,1.8657352795693862,93.28676397846931,107.47855287147927,0.8033026898145968,6.07167202838534
211567140,2026-08-05 10:54:16,359.0,1.482642956558104,74.1321478279052,69.51546317614977,7.392622519504991,0.7153412755832426
211574000,2026-08-05 22:31:45,440.0,1.962540371970127,98.12701859850635,97.63979562618815,11.993302273150777,6.153395975175323
211594540,2026-08-05 01:58:24,30.0,2.778447865922453,138.92239329612266,139.0190794280182,1.1576866108010222,5.463698678318552
211755690,2026-08-05 00:39:02,1800.0,1.176140205834214,58.807010291710704,58.72856008598594,29.403505145855352,0.7332633114922954
211787800,2026-08-05 23:08:38,359.0,1.2826902106630902,64.13451053315451,64.15810864486171,6.395635911500686,4.7427007105541055
211810060,2026-08-05 13:00:34,10.0,1.493889617078117,74.69448085390586,74.5029353773242,0.2074846690386274,2.895708470410381
211818270,2026-08-05 03:08:16,10.0,1.0478910833567316,52.39455416783658,52.43041261130278,0.14554042824399052,2.3820908494642543
211865680,2026-08-05 06:11:27,540.0,2.94201970010544,147.100985005272,146.98615760847218,22.0651477507908,1.1889768739233186
212006000,2026-08-05 23:48:36,50.0,1.3134638730403312,65.67319365201656,77.13930836763753,0.9121276896113412,2.1720565598737265
212571000,2026-08-05 21:39:05,7.0,1.1966964462727117,59.834822313635584,65.51381546820821,0.11634548783206919,2.2578054927517615
218601000,2026-08-05 19:42:21,4.0,2.6688530044509067,133.44265022254532,126.97408721842304,0.1482696113583837,1.1166076285552577
218839000,2026-08-05 22:58:06,286.0,2.522978460950431,126.14892304752155,126.17496114184026,10.021831108775324,0.08012275569450403
219000431,2026-08-05 04:43:24,5.0,1.0027606513327143,50.138032566635715,33.39240620740557,0.0696361563425496,0.6533336688122376
219000674,2026-08-05 08:06:17,8.0,2.4852850228631898,124.26425114315948,114.26824537250276,0.27614278031813216,3.4345837009071953
219000762,2026-08-05 13:48:04,10.0,2.801469223356392,140.0734611678196,140.18031146712164,0.3890929476883878,2.104917860661535
